r_vec,x_vec,xr_vec,e_vec,par_vec,reg_vec,par_dot_vec,u_vec,enc_u_vec
0.192,"[[0.057478499999999995]
 [0.295682625]]","[[0.059894875]
 [0.29629774999999997]]","[[-0.0024163749999999997]
 [-0.000615125]]","[[1.4213675663621874]
 [0.010238693191456484]]","[[0.9964999999999999]
 [0.295682625]]","[[3.246315675593751]
 [0.38529308838037507]]",[[1.4193063719062502]],1453.4399158291
0.198,"[[0.0604764375]
 [0.3038798125]]","[[0.06297937499999999]
 [0.3048555]]","[[-0.0025029375]
 [-0.0009756875]]","[[1.4537131567559376]
 [0.01410293088380375]]","[[1.0055]
 [0.3038798125]]","[[3.4113343982812507]
 [0.41237859914655084]]",[[1.465999942375]],1452.83658653108
0.20400000000000001,"[[0.063557875]
 [0.3123769375]]","[[0.066063875]
 [0.31341325]]","[[-0.002506]
 [-0.0010363125]]","[[1.4878633439828126]
 [0.01812378599146551]]","[[1.0125]
 [0.3123769375]]","[[3.5387678671875005]
 [0.43670489145730085]]",[[1.511969659875]],1453.20056967682
0.21,"[[0.06672568749999999]
 [0.32116093749999997]]","[[0.06915075]
 [0.3222015]]","[[-0.0024250624999999997]
 [-0.0010405625]]","[[1.523137678671875]
 [0.022367048914573008]]","[[1.01125]
 [0.32116093749999997]]","[[3.5316258544531256]
 [0.4486324434617188]]",[[1.5475323933593752]],1453.50174064014
0.21625,"[[0.06998225]
 [0.33012312499999996]]","[[0.0724873125]
 [0.33092968749999996]]","[[-0.0025050625]
 [-0.0008065625]]","[[1.558566258544531]
 [0.026736324434617185]]","[[1.0162499999999999]
 [0.33012312499999996]]","[[3.4737071960156256]
 [0.45135679864796885]]",[[1.5926564185937502]],1453.49689520393
0.2225,"[[0.0733298125]
 [0.33935462499999997]]","[[0.0758241875]
 [0.3397179375]]","[[-0.002494375]
 [-0.0003633125]]","[[1.5932370719601563]
 [0.03126356798647969]]","[[1.01725]
 [0.33935462499999997]]","[[3.3176995856875005]
 [0.4427044397538282]]",[[1.63133839453125]],1453.51182536371
0.22875,"[[0.07677068749999999]
 [0.3487863125]]","[[0.07916106249999999]
 [0.3485061875]]","[[-0.0023903749999999997]
 [0.000280125]]","[[1.6264269958568751]
 [0.035677044397538285]]","[[1.01]
 [0.3487863125]]","[[3.0595439518750007]
 [0.4226146088395001]]",[[1.655234110671875]],1453.22234382327
0.23525000000000001,"[[0.08030612499999999]
 [0.3582678125]]","[[0.08274762499999999]
 [0.357234375]]","[[-0.0024415]
 [0.0010334374999999999]]","[[1.65709543951875]
 [0.039976146088395004]]","[[1.009]
 [0.3582678125]]","[[2.7949692879375005]
 [0.3969558100675782]]",[[1.6862437125]],1452.856113814
0.24175,"[[0.0839369375]
 [0.3678685625]]","[[0.0863345]
 [0.366022625]]","[[-0.0023975625]
 [0.0018459375]]","[[1.6849496928793752]
 [0.043969558100675786]]","[[1.00175]
 [0.3678685625]]","[[2.4847959214687503]
 [0.3649815300215001]]",[[1.70413496675]],1453.55166228647
0.24825,"[[0.08766375]
 [0.3774563125]]","[[0.089921375]
 [0.374810875]]","[[-0.002257625]
 [0.0026454375]]","[[1.7098479592146876]
 [0.047649815300215]]","[[0.9924999999999999]
 [0.3774563125]]","[[2.1734815809375005]
 [0.3306258739925938]]",[[1.7149504139218752]],1453.53771612617
